#Energy losses in the three detectors (in MeV):
# Total	BGO	Plastic_1	PLastic_2

0.0727295	24.078	22.8721	11.2946
0.16748	16.4244	1.77911	20.8594
0.0592632	19.4716	2.88441	3.10739
0.0944314	18.3212	21.0457	4.0429
0.0481083	21.6576	2.95575	19.6273
0.116607	19.774	21.4593	18.1901
0.104084	23.1272	20.3168	12.4672
0.0466695	21.269	6.04361	18.0608
0.141781	22.4465	31.4063	26.6661
0.126163	18.6698	3.15646	0.534174
0.141176	30.3826	4.82035	0
0.0566498	21.8527	6.82418	1.55568
0.0462177	23.493	17.0103	27.1834
0.159587	1.92467	16.0601	3.26964
0.157755	29.5619	0	1.43162
0.0709147	20.792	22.0909	0.448154
0.0632071	20.4605	3.33585	4.49044
0.0642013	29.8407	19.0891	23.339
0.212329	24.4809	0.742234	18.7441
0.06987	19.661	0.212034	10.0488
0.137243	1.25507	9.69534	17.6948
0.0920338	20.8654	20.5609	16.5678
0.0601749	19.2121	11.2604	0.653545
0.11287	19.4436	5.94172	3.77586
0.0804925	18.2689	15.3203	0
0.051023	18.3269	19.5221	21.6532
0.0588432	18.9321	6.35132	22.4819
0.0309237	9.25796	20.416	12.4475
0.0778001	20.0206	0.952514	4.95307
0.0678241	19.3749	12.2884	39.1925
0.169327	31.3747	17.3536	18.954
0.0809725	19.9893	10.1221	0.78735
0.0341578	19.8795	19.4279	19.8997
0.107747	27.0424	22.2662	9.24819
0.0315361	17.6466	20.342	15.1066
0.0336132	18.3533	16.654	17.6128
0.14271	0.00333514	3.87764	18.7472
0.0356419	24.1135	23.2587	19.1665
0.0295634	28.5958	18.2175	18.5324
0.181642	22.1539	15.4213	9.0244
0.0695176	17.5082	12.6808	2.15593
0.109118	23.3218	0.753415	5.40265
0.0926791	19.2469	10.722	3.9944
0.0276491	18.5336	18.5442	16.9168
0.0416648	33.8111	0.180369	17.5223
0.0546408	7.90506	12.3154	3.33155
0.068013	17.7523	0.398561	6.0275
0.0572194	18.9745	14.6587	0.246238
0.121853	24.2811	2.39482	17.6844
0.0971109	20.0974	18.784	0.0755484
0.0811126	18.9211	4.8909	3.66024
0.0264975	21.6611	19.1387	19.704
0.0883694	31.3567	2.32985	25.4293
0.043064	18.7226	11.7035	18.0147
0.112426	22.3656	17.1017	17.0737
0.077061	25.1883	18.8707	5.39442
0.147868	2.37353	25.2952	17.4721
0.109755	21.5275	18.6594	12.0649
0.178548	6.94635	7.31899	0.102929
0.0406175	1.23603	20.6714	20.4465
0.177285	18.4354	10.531	18.0112
0.0461487	19.9082	16.9303	3.17752
0.0811154	22.7371	8.32046	0.796642
0.0550765	17.86	7.91198	0.982847
0.0416899	19.5251	6.31817	7.21487
0.0238763	23.1258	19.813	19.176
0.154831	25.68	15.4977	19.2536
0.0293036	24.3672	18.3002	18.1175
0.0578032	17.5624	7.2624	18.0913
0.0555814	14.4942	17.0548	17.0408
0.062283	18.7236	28.2924	17.8604
0.0958493	1.44026	1.34317	11.6966
0.030988	21.7496	23.0787	19.1668
0.199025	20.6324	14.3032	27.4578
0.0545076	25.1844	13.452	4.9769
0.0501646	20.1507	2.66106	13.7548
0.121036	20.6798	9.33929	7.33342
0.0410513	25.1907	7.60819	18.3297
0.0743249	20.626	9.24895	9.57253
0.0700273	23.8345	18.0912	17.4126
0.0466353	20.3777	3.47933	6.69715
0.0563385	18.2983	18.4492	21.4175
0.113237	21.6801	2.1984	7.98767
0.103684	13.9164	7.44447	12.2039
0.0334323	20.023	17.281	18.1881
0.0587985	23.6329	19.0322	25.5681
0.0853702	20.7579	3.49031	1.52222
0.0521708	18.6509	11.7329	7.97959
0.12476	29.3715	9.89766	4.45285
0.0397946	18.9783	16.746	19.2389
0.0424962	24.4145	14.0996	4.42071
0.0511739	20.3754	3.31537	6.73493
0.118446	7.90453	9.77476	0.102619
0.05044	20.0975	18.9296	1.88145
0.116818	23.7703	27.4506	20.1907
0.0519071	19.5471	17.7151	21.3824
0.0834834	20.7366	4.56301	25.6835
0.0495056	6.28543	18.0233	9.30625
0.0511583	18.8766	10.6044	9.32818
0.0526066	19.3627	3.91527	0.715184
0.162575	22.1293	6.9418	2.70212
0.0710504	17.5948	19.866	15.6253
0.0631717	19.1382	0.425139	18.0277
0.111744	21.9393	8.45724	3.24857
0.154207	0.00261191	31.5865	18.2931
0.065502	24.539	13.7585	14.9422
0.0619862	16.7618	4.50275	14.1245
0.0408305	22.1138	18.2368	19.0569
0.134782	20.242	19.3542	3.36445
0.0260589	18.2825	17.5832	19.5501
0.0800649	27.8255	23.3731	0.606474
0.0274594	28.8555	18.4422	16.4492
0.064605	20.2215	12.7495	5.17486
0.0843021	17.7512	1.07907	9.51581
0.0488357	33.4488	17.0275	4.0382
0.135842	4.20256	5.74571	6.09252
0.0945924	29.0103	4.72388	8.22049
0.0610183	24.9059	1.26969	9.10802
0.0672519	21.7775	9.53802	2.68293
0.0403151	21.8611	16.0921	8.21228
0.0378785	18.0113	19.694	5.80638
0.072322	18.5872	19.1635	12.2174
0.039963	18.2068	5.29117	19.6664
0.292723	20.6081	18.5752	24.9435
0.0634964	21.8452	4.08268	0.0277858
0.246069	57.9973	8.16809	0
0.137561	18.6581	26.4694	18.5806
0.129926	20.523	4.73454	5.96132
0.0383217	28.1699	17.4309	18.0422
0.12465	22.1844	19.3702	7.99399
0.136461	28.4869	26.8724	14.21
0.0784241	18.1586	0.1791	6.29529
 0.1315	23.163	1.67256	5.29271
0.0544105	23.7024	1.0018	8.03392
0.0599838	20.2293	11.4027	22.409
0.0515756	23.9633	20.9731	0.965138
0.0618906	21.1789	18.8398	7.36815
0.18737	20.6476	1.45068	7.40562
0.277935	36.1578	0.58664	0
0.0466003	17.8381	17.7666	25.2386
0.0494106	23.4175	14.7981	18.1849
0.114563	23.6081	19.3681	10.7814
0.0848784	21.0772	6.45614	20.7997
0.21182	0.779737	3.44308	16.035
0.0516589	19.0397	17.2745	5.13374
0.0278309	16.1402	17.2572	17.3805
0.0477664	20.9414	17.6707	4.57792
0.0337495	20.4665	16.9767	15.3224
0.107645	21.6136	10.1141	0.00335555
0.0577982	18.3459	2.49779	4.91861
0.269726	21.4134	13.498	3.38383
0.0431291	21.3965	4.22867	17.6852
0.0721061	17.1189	1.46793	2.5301
0.230518	21.6575	34.5344	14.4511
0.130438	18.2431	6.59527	12.25
0.0694476	31.1797	8.91456	3.05489
0.0435992	20.6801	19.7846	3.83062
0.0444961	33.6133	18.8877	19.5345
0.0707185	11.4166	4.25144	3.00935
0.0338908	20.8055	16.9114	22.0342
0.0438686	28.6728	18.3534	7.08057
0.063461	46.4939	18.7989	7.18052
0.0753791	20.7785	19.9399	9.03504
0.0610595	23.5077	14.4324	0
0.0903676	18.7946	21.3797	12.6004
0.238216	20.8775	11.6969	1.50906
0.180519	20.9219	23.1406	7.79192
0.0326626	24.6848	17.7158	15.8173
0.0554793	18.6292	18.0018	18.7333
0.0391407	25.1372	11.6341	13.9955
0.119287	18.6832	17.4584	19.0658
0.0572209	20.0823	18.0567	6.47278
0.0840257	19.1584	21.8761	12.4201
0.0879012	6.79216	18.1914	6.98739
0.0398513	20.7864	18.8378	23.7973
0.0954094	17.3213	21.0957	4.63695
0.0744697	18.9598	20.2265	5.45611
0.204044	36.6038	6.43138	13.3673
0.0678701	20.552	1.59622	31.98
0.104573	20.9159	18.9848	19.2479
0.20113	4.41566	23.8945	2.42012
0.0656484	20.0076	0.930751	17.8274
0.0490658	20.5836	13.8418	23.0318
0.0743718	17.5401	19.9502	22.6736
